Dataset,Group,Mode,Algorithm,Accuracy_mean,Accuracy_std,F1_mean,F1_std,Time_s,n_samples,n_classes,IR
abalone8,B,vanilla,LogReg,0.8628,0.0025,0.0103,0.0085,0.007,4177,2,6.35
abalone8,B,vanilla,Bagging,0.8528,0.0092,0.1715,0.0522,0.501,4177,2,6.35
abalone8,B,vanilla,RandomForest,0.8561,0.0049,0.1379,0.0544,0.42,4177,2,6.35
abalone8,B,vanilla,AdaBoost,0.864,0.0005,0.0,0.0,0.118,4177,2,6.35
abalone8,B,vanilla,GradBoost,0.8592,0.0035,0.089,0.0288,0.436,4177,2,6.35
abalone8,B,vanilla,Stacking,0.8633,0.0041,0.0961,0.0398,1.226,4177,2,6.35
abalone8,B,vanilla,XGBoost,0.848,0.0062,0.2229,0.0396,0.162,4177,2,6.35
abalone8,B,vanilla,LGBM,0.8501,0.0075,0.1815,0.0554,0.144,4177,2,6.35
abalone8,B,vanilla,RFF_binary,0.864,0.0005,0.0,0.0,0.169,4177,2,6.35
abalone8,B,oversample,LogReg,0.6908,0.0106,0.6607,0.009,0.01,7218,2,6.35
abalone8,B,oversample,Bagging,0.9483,0.0045,0.9456,0.0049,0.87,7218,2,6.35
abalone8,B,oversample,RandomForest,0.9554,0.0028,0.9535,0.003,0.792,7218,2,6.35
abalone8,B,oversample,AdaBoost,0.6953,0.0071,0.6365,0.026,0.236,7218,2,6.35
abalone8,B,oversample,GradBoost,0.7758,0.0047,0.7504,0.0058,0.826,7218,2,6.35
abalone8,B,oversample,Stacking,0.9821,0.002,0.9819,0.0021,5.242,7218,2,6.35
abalone8,B,oversample,XGBoost,0.9176,0.0055,0.9112,0.0066,0.12,7218,2,6.35
abalone8,B,oversample,LGBM,0.8831,0.0071,0.8721,0.0085,0.107,7218,2,6.35
abalone8,B,oversample,RFF_binary,0.6193,0.0075,0.4407,0.0291,0.281,7218,2,6.35
abalone8,B,cost_sensitive,LogReg,0.6323,0.0211,0.3682,0.0238,0.008,4177,2,6.35
abalone8,B,cost_sensitive,Bagging,0.8528,0.0092,0.1715,0.0522,0.506,4177,2,6.35
abalone8,B,cost_sensitive,RandomForest,0.8592,0.0043,0.1401,0.0298,0.391,4177,2,6.35
abalone8,B,cost_sensitive,AdaBoost,0.864,0.0005,0.0,0.0,0.124,4177,2,6.35
abalone8,B,cost_sensitive,GradBoost,0.8592,0.0035,0.089,0.0288,0.438,4177,2,6.35
abalone8,B,cost_sensitive,Stacking,0.8645,0.0037,0.0886,0.0361,1.234,4177,2,6.35
abalone8,B,cost_sensitive,XGBoost,0.848,0.0062,0.2229,0.0396,0.093,4177,2,6.35
abalone8,B,cost_sensitive,LGBM,0.7639,0.0186,0.3671,0.025,0.121,4177,2,6.35
abalone8,B,cost_sensitive,RFF_binary,0.864,0.0005,0.0,0.0,0.172,4177,2,6.35
abalone17,B,vanilla,LogReg,0.9854,0.0009,0.0,0.0,0.005,4177,2,71.02
abalone17,B,vanilla,Bagging,0.9861,0.0009,0.0308,0.0615,0.327,4177,2,71.02
abalone17,B,vanilla,RandomForest,0.9861,0.0006,0.0,0.0,0.271,4177,2,71.02
abalone17,B,vanilla,AdaBoost,0.9856,0.0008,0.0,0.0,0.12,4177,2,71.02
abalone17,B,vanilla,GradBoost,0.9832,0.0013,0.0,0.0,0.428,4177,2,71.02
abalone17,B,vanilla,Stacking,0.9861,0.0006,0.0,0.0,0.54,4177,2,71.02
abalone17,B,vanilla,XGBoost,0.9854,0.0014,0.06,0.0742,0.092,4177,2,71.02
abalone17,B,vanilla,LGBM,0.9852,0.0006,0.0,0.0,0.092,4177,2,71.02
abalone17,B,vanilla,RFF_binary,0.9861,0.0006,0.0,0.0,0.38,4177,2,71.02
abalone17,B,oversample,LogReg,0.8284,0.0055,0.8268,0.0064,0.011,8238,2,71.02
abalone17,B,oversample,Bagging,0.9934,0.0017,0.9934,0.0017,0.432,8238,2,71.02
abalone17,B,oversample,RandomForest,0.9988,0.0009,0.9988,0.0009,0.365,8238,2,71.02
abalone17,B,oversample,AdaBoost,0.8524,0.0064,0.8368,0.0081,0.165,8238,2,71.02
